药物名称,drug_name,smiles,药物别名,全球最高研发状态,中国最高研发状态,首批年份,原研公司,Active公司,治疗领域/适应症,全球批准适应症,中国批准适应症,全球最高研发状态适应症,中国最高研发状态适应症,Active适应症,ATC代码,靶点,作用机制,药物类型大类,药物类型,中国一类,是否NME,是否复方,是否First-in-Class,是否QIDP,国家/区域,上市国家/区域,首批国家/区域,CAS 号,Inactive公司,Inactive适应症,最后更新日期,drugbank_url
Sulfamethoxazole/Trimethoprim/Pentoxyverine Citrate/Bromhexine Hydrochloride(磺胺甲噁唑/甲氧苄啶/枸橼酸喷托维林/盐酸溴己新),Bromhexine Hydrochloride,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,"Pediatric Pentoxyverine Citrate Sulfamethoxzaole Bromhexine Hydrochloride and Trimethoprim Tablets; Pentoxyverine Citrate Sulfamethoxazole Bromhexine Hydrochloride and Trimethoprim Tablets; 
小儿枸磺新啶片; 枸磺新啶片; 
スルファメトキサゾール · トリメトプリム · ペントキシベリンクエン酸塩 · ブロムヘキシン塩酸塩;
",批准上市,批准上市,NA,NA,NA,"呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
","呼吸道感染;
",NA,"DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,611-75-6(Bromhexine Hydrochloride); 23142-01-0(Pentoxyverine Citrate); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,NA,NA,2021-01-18,https://go.drugbank.com/drugs/DB09019
Cefadroxil/Trimethoprim(头孢羟氨/甲氧苄啶),Cefadroxil,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,"头孢羟氨苄甲氧苄啶片; 
セファドロキシル · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"感染;
","感染;
","感染;
","感染;
","感染;
","感染;
",NA,"PBPs;
DHFR;
","Bacterial penicillin-binding protein inhibitors(PBPs抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 66592-87-8(Cefadroxil Monohydrate);,NA,NA,2021-04-12,https://go.drugbank.com/drugs/DB01140
Cefadroxil/Trimethoprim(头孢羟氨/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"头孢羟氨苄甲氧苄啶片; 
セファドロキシル · トリメトプリム;
",批准上市,批准上市,NA,NA,NA,"感染;
","感染;
","感染;
","感染;
","感染;
","感染;
",NA,"PBPs;
DHFR;
","Bacterial penicillin-binding protein inhibitors(PBPs抑制剂); 
Cell wall inhibitors(细胞壁抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,738-70-5(Trimethoprim); 66592-87-8(Cefadroxil Monohydrate);,NA,NA,2021-04-12,https://go.drugbank.com/drugs/DB00440
Artenimol/Piperaquine Phosphate/Trimethoprim(双氢青蒿素/磷酸哌喹/甲氧苄啶),Artenimol,[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)C([H])(O)O[C@]3([H])O[C@@]4(C)CC[C@]1([H])[C@@]23OO4,"Artekin; 安立康; 
复方双氢青蒿素片; 
",批准上市,批准上市,NA,NA,NA,"恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
",NA,"CYPs;
CYP3A4;
DHFR;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,85547-56-4(Piperaquine Phosphate Hydrate); 738-70-5(Trimethoprim); 71939-50-9(Dihydroqinghaosu);,NA,NA,2021-04-07,https://go.drugbank.com/drugs/DB11638
Artenimol/Piperaquine Phosphate/Trimethoprim(双氢青蒿素/磷酸哌喹/甲氧苄啶),Piperaquine Phosphate,ClC1=CC2=C(C=C1)C(=CC=N2)N1CCN(CCCN2CCN(CC2)C2=CC=NC3=C2C=CC(Cl)=C3)CC1,"Artekin; 安立康; 
复方双氢青蒿素片; 
",批准上市,批准上市,NA,NA,NA,"恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
",NA,"CYPs;
CYP3A4;
DHFR;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,85547-56-4(Piperaquine Phosphate Hydrate); 738-70-5(Trimethoprim); 71939-50-9(Dihydroqinghaosu);,NA,NA,2021-04-07,https://go.drugbank.com/drugs/DB13941
Artenimol/Piperaquine Phosphate/Trimethoprim(双氢青蒿素/磷酸哌喹/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"Artekin; 安立康; 
复方双氢青蒿素片; 
",批准上市,批准上市,NA,NA,NA,"恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
","恶性疟;
间日疟原虫感染;
",NA,"CYPs;
CYP3A4;
DHFR;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,是,否,否,"中国大陆;
","中国大陆;
",NA,85547-56-4(Piperaquine Phosphate Hydrate); 738-70-5(Trimethoprim); 71939-50-9(Dihydroqinghaosu);,NA,NA,2021-04-07,https://go.drugbank.com/drugs/DB00440
Proguanil Hydrochloride(盐酸氯胍),Proguanil Hydrochloride,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1,"GW-AH7673A; RP-3359; SN-12; 336U50; 
Paludrine; 
Chloroguanide Hydrochloride; 
白乐君; 盐酸氯脉; 
プログアニル塩酸塩;
",批准上市,无申报,NA,"葛兰素史克;
Jacobus;
",NA,"疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01BB01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,NA,NA,NA,637-32-1(Proguanil Hydrochloride);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB01131
Tetroxoprim(四氧普林),Tetroxoprim,COCCOC1=C(OC)C=C(CC2=C(N)N=C(N)N=C2)C=C1OC,"tetroxoprima; tetroxoprimum; 
四氧苄嘧啶; 
",批准上市,无申报,NA,NA,NA,"细菌感染;
","细菌感染;
",NA,"细菌感染;
",NA,"细菌感染;
","J01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,NA,NA,NA,53808-87-0(Tetroxoprim);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB15976
Brodimoprim(溴莫普林),Brodimoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,"Ro-10-5970; 
Unitrim; Hyprim; 
brodimoprima; brodimoprimum; brodimoprime; 
溴烯尿甙; 溴烯尿苷; 溴地普林; 
",批准上市,无申报,NA,NA,NA,"耳鼻咽喉疾病;
呼吸道感染;
","耳鼻咽喉疾病;
呼吸道感染;
",NA,"耳鼻咽喉疾病;
呼吸道感染;
",NA,"耳鼻咽喉疾病;
呼吸道感染;
","J01EA02;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,NA,NA,NA,56518-41-3(Brodimoprim);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB13795
Artesunate/Pyrimethamine/Sulfalene(青蒿琥酯/乙胺嘧啶/磺胺林),Artesunate,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4,"AS/SP; 
Co-Arinate; Coarinate; 
Pyrimethamine/Sulfalene/Artesunate; Sulfalene/Artesunate/Pyrimethamine; Artesunic acid/Pyrimethamine/Sulfalene; Artesunate/sulfamethoxypyrazine/pyrimethamine; 
青蒿琥酯乙胺嘧啶磺胺林; 磺胺林/青蒿琥酯/乙胺嘧啶; 乙胺嘧啶/青蒿琥酯/磺胺林; 乙胺嘧啶/磺胺林/青蒿琥酯; 
",批准上市,无申报,NA,"Dafra Pharma;
","Dafra Pharma;
","疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01B;
","DHPS;
ATP2A2;
DHFR;
ATP2A1;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,NA,NA,NA,152-47-6(Sulfametopyrazine); 88495-63-0(Artesunate); 58-14-0(Pyrimethamine);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB09274
Artesunate/Pyrimethamine/Sulfalene(青蒿琥酯/乙胺嘧啶/磺胺林),Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,"AS/SP; 
Co-Arinate; Coarinate; 
Pyrimethamine/Sulfalene/Artesunate; Sulfalene/Artesunate/Pyrimethamine; Artesunic acid/Pyrimethamine/Sulfalene; Artesunate/sulfamethoxypyrazine/pyrimethamine; 
青蒿琥酯乙胺嘧啶磺胺林; 磺胺林/青蒿琥酯/乙胺嘧啶; 乙胺嘧啶/青蒿琥酯/磺胺林; 乙胺嘧啶/磺胺林/青蒿琥酯; 
",批准上市,无申报,NA,"Dafra Pharma;
","Dafra Pharma;
","疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01B;
","DHPS;
ATP2A2;
DHFR;
ATP2A1;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,NA,NA,NA,152-47-6(Sulfametopyrazine); 88495-63-0(Artesunate); 58-14-0(Pyrimethamine);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB00205
Artesunate/Pyrimethamine/Sulfalene(青蒿琥酯/乙胺嘧啶/磺胺林),Sulfalene,COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1,"AS/SP; 
Co-Arinate; Coarinate; 
Pyrimethamine/Sulfalene/Artesunate; Sulfalene/Artesunate/Pyrimethamine; Artesunic acid/Pyrimethamine/Sulfalene; Artesunate/sulfamethoxypyrazine/pyrimethamine; 
青蒿琥酯乙胺嘧啶磺胺林; 磺胺林/青蒿琥酯/乙胺嘧啶; 乙胺嘧啶/青蒿琥酯/磺胺林; 乙胺嘧啶/磺胺林/青蒿琥酯; 
",批准上市,无申报,NA,"Dafra Pharma;
","Dafra Pharma;
","疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01B;
","DHPS;
ATP2A2;
DHFR;
ATP2A1;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,NA,NA,NA,152-47-6(Sulfametopyrazine); 88495-63-0(Artesunate); 58-14-0(Pyrimethamine);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB00664
Iclaprim,Iclaprim,COC1=CC(CC2=CN=C(N)N=C2N)=C2C=CC(OC2=C1OC)C1CC1,"AR-100; MTF-100; RO-48-2622; AR-100.001; RO-482622; 
Mersarex; 
Iclaprime; Iclaprim; Iclaprimum; 
艾拉普林; 埃拉普林; 
",申请上市,无申报,NA,"罗氏;
","罗氏;
Motif Bio;
","皮肤和皮肤结构感染;
呼吸机相关性肺炎;
医疗保健相关性肺炎;
细菌性皮肤疾病;
",NA,NA,"皮肤和皮肤结构感染;
",NA,"皮肤和皮肤结构感染;
",NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,是,"秘鲁;
波兰;
葡萄牙;
波多黎各;
罗马尼亚;
土耳其;
乌克兰;
美国;
阿根廷;
比利时;
保加利亚;
智利;
哥伦比亚;
克罗地亚;
爱沙尼亚;
德国;
匈牙利;
拉脱维亚;
捷克;
",NA,NA,192314-93-5(Iclaprim );,"Arpida Ag;
","呼吸机相关性肺炎;
细菌性皮肤疾病;
医疗保健相关性肺炎;
",2020-12-11,https://go.drugbank.com/drugs/DB06358
Methotrexate(Aldeyra Therapeutics),Methotrexate,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(C)CC1=NC2=C(N)NC(=N)N=C2N=C1)C(O)=O,"ADX-2191; 
",临床三期,无申报,NA,"Aldeyra Therapeutics;
","Aldeyra Therapeutics;
","增生性玻璃体视网膜病变;
",NA,NA,"增生性玻璃体视网膜病变;
",NA,"增生性玻璃体视网膜病变;
",NA,"DHFR;
TYMS;
","Thymidylate synthase inhibitors(TYMS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,否,否,否,否,NA,NA,NA,59-05-2(Methotrexate);,NA,NA,2021-09-14,https://go.drugbank.com/drugs/DB00563
Aminopterin,Aminopterin,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(N)=N1,"NSC-739; AMT; 
aminopterina de; Rac-aminopterin; Aminotrexate; LD-aminopterin; aminopterinum; 
白血宁; 氨蝶呤; 氨喋呤; 喋啶胺; 氨基碟呤; 氨基蝶呤; 氨基喋呤; 
",临床二期,无申报,NA,"美国健赞公司;
","Syntrix Biosystems Inc;
","银屑病;
子宫内膜癌;
类风湿关节炎;
白血病;
",NA,NA,"银屑病;
",NA,"银屑病;
",NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"乌克兰;
美国;
",NA,NA,54-62-6(Aminopterin);,NA,"白血病;
类风湿关节炎;
子宫内膜癌;
",2020-08-28,https://go.drugbank.com/drugs/DB08878
Phenazopyridine Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸非那吡啶/磺胺甲噁唑/甲氧苄啶),Phenazopyridine Hydrochloride,NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,"スルファメトキサゾール•トリメトプリム; Trimethoprim/Sulfamethoxazole/Phenazopyridine Hydrochloride; Sulfamethoxazole and Trimethoprim and phenazopyridine hydrochloride; 
",撤市,无申报,2001,"Able Laboratories Inc;
",NA,"泌尿系统感染;
",NA,NA,"泌尿系统感染;
",NA,NA,NA,"SCNA;
DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
",NA,"美国;
",136-40-3(Phenazopyridine Hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,"Able Laboratories Inc;
","泌尿系统感染;
",2020-08-28,https://go.drugbank.com/drugs/DB01438
Phenazopyridine Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸非那吡啶/磺胺甲噁唑/甲氧苄啶),Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,"スルファメトキサゾール•トリメトプリム; Trimethoprim/Sulfamethoxazole/Phenazopyridine Hydrochloride; Sulfamethoxazole and Trimethoprim and phenazopyridine hydrochloride; 
",撤市,无申报,2001,"Able Laboratories Inc;
",NA,"泌尿系统感染;
",NA,NA,"泌尿系统感染;
",NA,NA,NA,"SCNA;
DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
",NA,"美国;
",136-40-3(Phenazopyridine Hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,"Able Laboratories Inc;
","泌尿系统感染;
",2020-08-28,https://go.drugbank.com/drugs/DB01015
Phenazopyridine Hydrochloride/Sulfamethoxazole/Trimethoprim(盐酸非那吡啶/磺胺甲噁唑/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"スルファメトキサゾール•トリメトプリム; Trimethoprim/Sulfamethoxazole/Phenazopyridine Hydrochloride; Sulfamethoxazole and Trimethoprim and phenazopyridine hydrochloride; 
",撤市,无申报,2001,"Able Laboratories Inc;
",NA,"泌尿系统感染;
",NA,NA,"泌尿系统感染;
",NA,NA,NA,"SCNA;
DHPS;
DHFR;
","Dihydropteroate synthase inhibitors(DHPS抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"美国;
",NA,"美国;
",136-40-3(Phenazopyridine Hydrochloride); 738-70-5(Trimethoprim); 723-46-6(Sulfamethoxazole);,"Able Laboratories Inc;
","泌尿系统感染;
",2020-08-28,https://go.drugbank.com/drugs/DB00440
Trimetrexate Glucuronate(三甲曲沙),Trimetrexate Glucuronate,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,"NSC-328564; NSC-352122; 
Neutrexin; 
trimetrexato; trimetrexatum; 
三甲曲沙葡糖醛酸盐; 葡萄糖醛酸三甲曲沙; 三甲曲沙葡萄糖醛酸; 三甲曲沙葡糖醛酸酯; 三甲氧蝶呤; 葡糖醛酸三甲曲沙; 三甲曲星葡醛酸; 
",撤市,无申报,1993,"阿斯利康制药有限公司;
",NA,"肺炎;
",NA,NA,"肺炎;
",NA,NA,"P01AX07;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","糖类;
",NA,是,否,否,否,"美国;
",NA,"美国;
",82952-64-5(trimetrexate glucuronate);,"Medimmune Oncology Inc;
","肺炎;
",2020-08-28,https://go.drugbank.com/drugs/DB01157
CH-1504,CH-1504,NC1=NC2=CC=C(CCC3=CC=C(C=C3)C(=O)NC(CC(=C)C(O)=O)C(O)=O)C=C2C(N)=N1,"CH-1504; AA-243; 
TRIDAM; M-trex; MobileTrex; 
",终止,无申报,NA,"灵北制药;
",NA,"类风湿关节炎;
",NA,NA,"类风湿关节炎;
",NA,NA,NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"加拿大;
",NA,NA,238074-89-0(MobileTrex);,"Chelsea Therapeutics;
灵北制药;
","类风湿关节炎;
",2020-08-28,https://go.drugbank.com/drugs/DB05616
Talotrexin,Talotrexin,NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCCNC(=O)C3=CC=CC=C3C(O)=O)C(O)=O)C=NC2=N1,"PT-523; NSC-633713; NSC-712783 (NH3 salt); 
Talvesta; 
talotrexine; talotrexina; Talopterin; talotrexinum; 
他洛曲新; 
",终止,无申报,NA,"Ash Stevens;
丹娜法伯癌症研究院;
",NA,"急性淋巴细胞白血病;
白血病;
非小细胞肺癌;
",NA,NA,"急性淋巴细胞白血病;
白血病;
非小细胞肺癌;
",NA,NA,NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"俄罗斯联邦;
美国;
",NA,NA,113857-87-7(Talotrexin);,"Astex Pharmaceuticals Inc;
丹娜法伯癌症研究院;
Spectrum Pharmaceuticals Inc;
","白血病;
非小细胞肺癌;
急性淋巴细胞白血病;
",2020-08-28,https://go.drugbank.com/drugs/DB06178
Piritrexim,Piritrexim,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,"BW-301U; NSC-351521; BW 301U; 301U74; 
",无进展,无申报,NA,"葛兰素史克;
",NA,"膀胱癌;
卡波济氏肉瘤;
",NA,NA,"膀胱癌;
卡波济氏肉瘤;
",NA,NA,NA,"DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,NA,NA,NA,72732-56-0(Piritrexim);,"美国健赞公司;
葛兰素史克;
","膀胱癌;
卡波济氏肉瘤;
",2021-06-06,https://go.drugbank.com/drugs/DB03695
Trimetrexate,Trimetrexate,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,"NSC-249008; TMQ; CI-898; JB-11; 
trimetrexatum; trimetrexato; 
三甲曲沙; 曲麦克特; 
",无进展,无申报,NA,"辉瑞制药有限公司;
",NA,"HIV感染;
",NA,NA,"HIV感染;
",NA,NA,"P01AX07;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,NA,NA,NA,52128-35-5(Trimetrexate);,"Auspex;
Medimmune Llc;
辉瑞;
","HIV感染;
",2020-08-28,https://go.drugbank.com/drugs/DB01157
